"","Habitat","BaitGrid.x","Neg","Pos","Sum","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y"
"57","Pine","P4_Fall 2020",3,2,5,2020,"Rhodamine","Fall","P4",150,3,0,1.5442604086343,"P4_Fall "
"58","Pine","P4_Spring 2017",3,1,4,2017,"Rhodamine","Spring","P4",75,0.5,1.3473693455222,1.11454923055072,"P4_Spring "
"59","Pine","P4_Spring 2018",0,1,1,2018,"Rhodamine","Spring","P4",75,0.5,1.3473693455222,1.11454923055072,"P4_Spring "
"60","Pine","P4_Spring 2019",5,0,5,2019,"Rhodamine","Spring","P4",75,0.5,1.3473693455222,1.11454923055072,"P4_Spring "
"61","Pine","P4_Spring 2021",1,2,3,2021,"Et_IPA","Spring","P4",150,3,1.3473693455222,1.11454923055072,"P4_Spring "
"62","Pine","P4_Spring 2022",1,0,1,2022,"Rhodamine","Spring","P4",150,3,1.3473693455222,1.11454923055072,"P4_Spring "
"63","Pine","P5_Fall 2020",6,2,8,2020,"Rhodamine","Fall","P5",150,3,3.56526522427897,3.70459093492255,"P5_Fall "
"64","Pine","P5_Fall 2021",0,1,1,2021,"Pr_IPA","Fall","P5",150,3,3.56526522427897,3.70459093492255,"P5_Fall "
"65","Pine","P5_Spring 2017",0,1,1,2017,"Rhodamine","Spring","P5",75,0.5,0.759614553822882,1.36705091639412,"P5_Spring "
"66","Pine","P5_Spring 2018",5,1,6,2018,"Rhodamine","Spring","P5",75,0.5,0.759614553822882,1.36705091639412,"P5_Spring "
"67","Pine","P5_Spring 2019",1,0,1,2019,"Rhodamine","Spring","P5",75,0.5,0.759614553822882,1.36705091639412,"P5_Spring "
"68","Pine","P5_Spring 2021",1,5,6,2021,"Et_IPA","Spring","P5",150,3,0.759614553822882,1.36705091639412,"P5_Spring "
"69","Pine","P5_Spring 2022",1,3,4,2022,"Rhodamine","Spring","P5",150,3,0.759614553822882,1.36705091639412,"P5_Spring "
"70","Pine","P6_Fall 2020",4,6,10,2020,"Rhodamine","Fall","P6",150,3,1.08151444667537,4.36841997502374,"P6_Fall "
"71","Pine","P6_Fall 2021",3,2,5,2021,"Pr_IPA","Fall","P6",150,3,1.08151444667537,4.36841997502374,"P6_Fall "
"72","Pine","P6_Spring 2018",3,3,6,2018,"Rhodamine","Spring","P6",75,0.5,2.06074585000629,2.45703226766488,"P6_Spring "
"73","Pine","P6_Spring 2019",0,1,1,2019,"Rhodamine","Spring","P6",75,0.5,2.06074585000629,2.45703226766488,"P6_Spring "
"74","Pine","P6_Spring 2021",9,2,11,2021,"Et_IPA","Spring","P6",150,3,2.06074585000629,2.45703226766488,"P6_Spring "
"75","Pine","P6_Spring 2022",3,2,5,2022,"Rhodamine","Spring","P6",150,3,2.06074585000629,2.45703226766488,"P6_Spring "
"76","Pine","P7_Fall 2020",1,4,5,2020,"Rhodamine","Fall","P7",75,3,1.28255924062904,1.64420097098505,"P7_Fall "
"77","Pine","P7_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","P7",75,3,1.28255924062904,1.64420097098505,"P7_Fall "
"78","Pine","P7_Spring 2021",1,1,2,2021,"Et_IPA","Spring","P7",75,3,0.484594934098236,1.06317259913684,"P7_Spring "
"79","Pine","P7_Spring 2022",1,1,2,2022,"Rhodamine","Spring","P7",75,3,0.484594934098236,1.06317259913684,"P7_Spring "
"80","Riparian","R1_Fall 2020",3,3,6,2020,"Rhodamine","Fall","R1",75,3,0.856862449416333,2.13499203049128,"R1_Fall "
"81","Riparian","R1_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","R1",75,3,0.856862449416333,2.13499203049128,"R1_Fall "
"82","Riparian","R1_Spring 2017",2,1,3,2017,"Rhodamine","Spring","R1",75,0.5,5.32280431397585,2.12578972019852,"R1_Spring "
"83","Riparian","R1_Spring 2019",2,1,3,2019,"Rhodamine","Spring","R1",75,0.5,5.32280431397585,2.12578972019852,"R1_Spring "
"84","Riparian","R1_Spring 2021",3,2,5,2021,"Et_IPA","Spring","R1",75,3,5.32280431397585,2.12578972019852,"R1_Spring "
"85","Riparian","R2_Fall 2020",7,10,17,2020,"Rhodamine","Fall","R2",150,3,3.12713457925945,8.11563156217343,"R2_Fall "
"86","Riparian","R2_Fall 2021",0,3,3,2021,"Pr_IPA","Fall","R2",150,3,3.12713457925945,8.11563156217343,"R2_Fall "
"87","Riparian","R2_Spring 2017",3,0,3,2017,"Rhodamine","Spring","R2",75,0.5,5.12660714244174,4.97939923491936,"R2_Spring "
"88","Riparian","R2_Spring 2018",2,1,3,2018,"Rhodamine","Spring","R2",75,0.5,5.12660714244174,4.97939923491936,"R2_Spring "
"89","Riparian","R2_Spring 2019",3,2,5,2019,"Rhodamine","Spring","R2",75,0.5,5.12660714244174,4.97939923491936,"R2_Spring "
"90","Riparian","R2_Spring 2021",2,10,12,2021,"Et_IPA","Spring","R2",150,3,5.12660714244174,4.97939923491936,"R2_Spring "
"91","Riparian","R2_Spring 2022",3,3,6,2022,"Rhodamine","Spring","R2",150,3,5.12660714244174,4.97939923491936,"R2_Spring "
"92","Riparian","R3_Fall 2020",4,2,6,2020,"Rhodamine","Fall","R3",150,3,0.558406542637203,3.05238762817697,"R3_Fall "
"93","Riparian","R3_Fall 2021",3,1,4,2021,"Pr_IPA","Fall","R3",150,3,0.558406542637203,3.05238762817697,"R3_Fall "
"94","Riparian","R3_Spring 2017",2,0,2,2017,"Rhodamine","Spring","R3",75,0.5,5.45177710749405,3.40071573038207,"R3_Spring "
"95","Riparian","R3_Spring 2018",7,1,8,2018,"Rhodamine","Spring","R3",75,0.5,5.45177710749405,3.40071573038207,"R3_Spring "
"96","Riparian","R3_Spring 2019",1,1,2,2019,"Rhodamine","Spring","R3",75,0.5,5.45177710749405,3.40071573038207,"R3_Spring "
"97","Riparian","R3_Spring 2021",6,1,7,2021,"Et_IPA","Spring","R3",150,3,5.45177710749405,3.40071573038207,"R3_Spring "
"98","Riparian","R3_Spring 2022",2,2,4,2022,"Rhodamine","Spring","R3",150,3,5.45177710749405,3.40071573038207,"R3_Spring "
"99","Riparian","R4_Fall 2020",6,4,10,2020,"Rhodamine","Fall","R4",75,3,3.01018153606825,4.7565419233421,"R4_Fall "
"100","Riparian","R4_Fall 2021",0,1,1,2021,"Pr_IPA","Fall","R4",75,3,3.01018153606825,4.7565419233421,"R4_Fall "
"101","Riparian","R4_Spring 2017",1,1,2,2017,"Rhodamine","Spring","R4",75,0.5,9.51764983531284,3.73135193781335,"R4_Spring "
"102","Riparian","R4_Spring 2018",5,0,5,2018,"Rhodamine","Spring","R4",75,0.5,9.51764983531284,3.73135193781335,"R4_Spring "
"103","Riparian","R4_Spring 2021",4,3,7,2021,"Et_IPA","Spring","R4",75,3,9.51764983531284,3.73135193781335,"R4_Spring "
"104","Riparian","R4_Spring 2022",1,0,1,2022,"Rhodamine","Spring","R4",75,3,9.51764983531284,3.73135193781335,"R4_Spring "
"105","Riparian","R5_Fall 2020",5,2,7,2020,"Rhodamine","Fall","R5",75,3,0,2.76391063777114,"R5_Fall "
"106","Riparian","R5_Fall 2021",0,2,2,2021,"Pr_IPA","Fall","R5",75,3,0,2.76391063777114,"R5_Fall "
"107","Riparian","R5_Spring 2017",1,0,1,2017,"Rhodamine","Spring","R5",75,0.5,1.61830546223902,2.12344318854169,"R5_Spring "
"108","Riparian","R5_Spring 2019",2,0,2,2019,"Rhodamine","Spring","R5",75,0.5,1.61830546223902,2.12344318854169,"R5_Spring "
"109","Riparian","R5_Spring 2021",2,3,5,2021,"Et_IPA","Spring","R5",75,3,1.61830546223902,2.12344318854169,"R5_Spring "
"110","Riparian","R6_Fall 2020",2,0,2,2020,"Rhodamine","Fall","R6",150,3,0,0,"R6_Fall "
"111","Riparian","R6_Spring 2018",1,0,1,2018,"Rhodamine","Spring","R6",75,0.5,4.03345061865581,0.553130386348551,"R6_Spring "
"112","Riparian","R6_Spring 2021",1,1,2,2021,"Et_IPA","Spring","R6",150,3,4.03345061865581,0.553130386348551,"R6_Spring "
"113","Riparian","R6_Spring 2022",1,0,1,2022,"Rhodamine","Spring","R6",150,3,4.03345061865581,0.553130386348551,"R6_Spring "
"114","Wetland","W1_Fall 2020",4,3,7,2020,"Rhodamine","Fall","W1",75,3,1.29501432152844,3.57963006582343,"W1_Fall "
"115","Wetland","W1_Spring 2017",0,1,1,2017,"Rhodamine","Spring","W1",75,0.5,2.97185622602052,2.46172326558007,"W1_Spring "
"116","Wetland","W1_Spring 2018",1,0,1,2018,"Rhodamine","Spring","W1",75,0.5,2.97185622602052,2.46172326558007,"W1_Spring "
"117","Wetland","W1_Spring 2019",2,1,3,2019,"Rhodamine","Spring","W1",75,0.5,2.97185622602052,2.46172326558007,"W1_Spring "
"118","Wetland","W1_Spring 2021",1,2,3,2021,"Et_IPA","Spring","W1",75,3,2.97185622602052,2.46172326558007,"W1_Spring "
"119","Wetland","W1_Spring 2022",0,1,1,2022,"Rhodamine","Spring","W1",75,3,2.97185622602052,2.46172326558007,"W1_Spring "
"120","Wetland","W2_Fall 2020",5,4,9,2020,"Rhodamine","Fall","W2",75,3,0,6.86765542241319,"W2_Fall "
"121","Wetland","W2_Fall 2021",1,2,3,2021,"Pr_IPA","Fall","W2",75,3,0,6.86765542241319,"W2_Fall "
"122","Wetland","W2_Spring 2017",3,4,7,2017,"Rhodamine","Spring","W2",75,0.5,1.28613727817027,3.09760488261634,"W2_Spring "
"123","Wetland","W2_Spring 2018",1,1,2,2018,"Rhodamine","Spring","W2",75,0.5,1.28613727817027,3.09760488261634,"W2_Spring "
"124","Wetland","W2_Spring 2019",4,0,4,2019,"Rhodamine","Spring","W2",75,0.5,1.28613727817027,3.09760488261634,"W2_Spring "
"125","Wetland","W2_Spring 2021",6,0,6,2021,"Et_IPA","Spring","W2",75,3,1.28613727817027,3.09760488261634,"W2_Spring "
"126","Wetland","W3_Fall 2020",3,1,4,2020,"Rhodamine","Fall","W3",75,3,0.979429022821557,0,"W3_Fall "
"127","Wetland","W3_Spring 2017",1,0,1,2017,"Rhodamine","Spring","W3",75,0.5,1.05400167593668,0.940896817376239,"W3_Spring "
"128","Wetland","W3_Spring 2018",3,0,3,2018,"Rhodamine","Spring","W3",75,0.5,1.05400167593668,0.940896817376239,"W3_Spring "
"129","Wetland","W3_Spring 2021",1,1,2,2021,"Et_IPA","Spring","W3",75,3,1.05400167593668,0.940896817376239,"W3_Spring "
"130","Wetland","W4_Spring 2017",1,1,2,2017,"Rhodamine","Spring","W4",75,0.5,0.924780845376749,0.474881767607809,"W4_Spring "
"131","Wetland","W4_Spring 2018",1,1,2,2018,"Rhodamine","Spring","W4",75,0.5,0.924780845376749,0.474881767607809,"W4_Spring "
"132","Wetland","W5_Fall 2020",2,3,5,2020,"Rhodamine","Fall","W5",150,3,0.481054428803263,1.92629157416784,"W5_Fall "
"133","Wetland","W5_Spring 2017",0,1,1,2017,"Rhodamine","Spring","W5",75,0.5,3.12776418210553,1.24963809594425,"W5_Spring "
"134","Wetland","W5_Spring 2018",6,2,8,2018,"Rhodamine","Spring","W5",75,0.5,3.12776418210553,1.24963809594425,"W5_Spring "
"135","Wetland","W5_Spring 2019",3,1,4,2019,"Rhodamine","Spring","W5",75,0.5,3.12776418210553,1.24963809594425,"W5_Spring "
"136","Wetland","W5_Spring 2021",2,1,3,2021,"Et_IPA","Spring","W5",150,3,3.12776418210553,1.24963809594425,"W5_Spring "
"137","Wetland","W6_Fall 2020",3,3,6,2020,"Rhodamine","Fall","W6",150,3,0.919081579252373,2.67667909913567,"W6_Fall "
"138","Wetland","W6_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","W6",150,3,0.919081579252373,2.67667909913567,"W6_Fall "
"139","Wetland","W6_Spring 2017",2,3,5,2017,"Rhodamine","Spring","W6",75,0.5,2.92747748530097,2.81312853044729,"W6_Spring "
"140","Wetland","W6_Spring 2018",7,1,8,2018,"Rhodamine","Spring","W6",75,0.5,2.92747748530097,2.81312853044729,"W6_Spring "
"141","Wetland","W6_Spring 2019",2,2,4,2019,"Rhodamine","Spring","W6",75,0.5,2.92747748530097,2.81312853044729,"W6_Spring "
"142","Wetland","W6_Spring 2021",2,3,5,2021,"Et_IPA","Spring","W6",150,3,2.92747748530097,2.81312853044729,"W6_Spring "
"143","Wetland","W6_Spring 2022",3,1,4,2022,"Rhodamine","Spring","W6",150,3,2.92747748530097,2.81312853044729,"W6_Spring "
