"","X","Tag","ID_Number","Grid.x","Habitat","Grid.Session.x","date.x","BaitSession","BaitGrid.x","Site.ID.x","Trap.x","Species","Recapture.x","Sex","Age","FINAL_RbPresent_First","Pr.IPA..ng.mL.","Et.IPA..ng.mL.","Rb.presence.last","Column2","Biomarker","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","Residency"
"45",45,815,"815_44153","P7","Pine","P7-1","11/18/2020","Fall 2020","P7_Fall 2020","P7-1",2.5,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P7","75","3",-0.830919551673598,-0.790623042021406,"P7_Fall ",1
"46",46,816,"816_44154","P7","Pine","P7-1","11/19/2020","Fall 2020","P7_Fall 2020","P7-1",5.1,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P7","75","3",-0.830919551673598,-0.790623042021406,"P7_Fall ",1
"48",48,818,"818_44152","W1","Wetland","W1-1","11/17/2020","Fall 2020","W1_Fall 2020","W1-1",7.4,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W1","75","3",-0.828094207312918,-0.215772178642388,"W1_Fall ",3
"49",49,819,"819_44153","W1","Wetland","W1-1","11/18/2020","Fall 2020","W1_Fall 2020","W1-1",7.3,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W1","75","3",-0.828094207312918,-0.215772178642388,"W1_Fall ",1
"51",51,821,"821_44157","P7","Pine","P7-1","11/22/2020","Fall 2020","P7_Fall 2020","P7-1",3.5,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P7","75","3",-0.830919551673598,-0.790623042021406,"P7_Fall ",1
"52",52,822,"822_44256","R1","Riparian","R1-2","3/1/2021","Fall 2020","R1_Fall 2020","R1-2",1.1,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R1","75","3",-0.927485767351096,-0.644850889970845,"R1_Fall ",1
"53",53,823,"823_44257","R2","Riparian","R2-2","3/2/2021","Fall 2020","R2_Fall 2020","R2-2",3.1,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",1
"54",54,824,"824_44257","R2","Riparian","R2-2","3/2/2021","Fall 2020","R2_Fall 2020","R2-2",1.5,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",1
"55",55,825,"825_44257","R2","Riparian","R2-2","3/2/2021","Fall 2020","R2_Fall 2020","R2-2",2.5,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",1
"56",56,826,"826_44257","R2","Riparian","R2-2","3/2/2021","Fall 2020","R2_Fall 2020","R2-2",5.5,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",1
"57",57,827,"827_44257","R1","Riparian","R1-2","3/2/2021","Fall 2020","R1_Fall 2020","R1-2",5.3,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R1","75","3",-0.927485767351096,-0.644850889970845,"R1_Fall ",1
"58",58,828,"828_44270","B6","Bottomland","B6-2","3/15/2021","Fall 2020","B6_Fall 2020","B6-2",2.1,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B6","150","3",-0.27508742137721,0.490479704003514,"B6_Fall ",2
"60",60,830,"830_44496","B6","Bottomland","B6-1","10/27/2021","Fall 2020","B6_Fall 2020","B6-1",1.2,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B6","150","3",-0.27508742137721,0.490479704003514,"B6_Fall ",5
"61",61,831,"831_44272","W1","Wetland","W1-2","3/17/2021","Fall 2020","W1_Fall 2020","W1-2",7.4,"Raccoon","Initial","F","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W1","75","3",-0.828094207312918,-0.215772178642388,"W1_Fall ",3
"62",62,832,"832_44155","P2","Pine","P2-1","11/20/2020","Fall 2020","P2_Fall 2020","P2-1",1.4,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P2","75","3",-0.826096814210231,-0.822255885063305,"P2_Fall ",2
"63",63,833,"833_44157","P2","Pine","P2-1","11/22/2020","Fall 2020","P2_Fall 2020","P2-1",4.4,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P2","75","3",-0.826096814210231,-0.822255885063305,"P2_Fall ",1
"68",68,838,"838_44165","R2","Riparian","R2-1","11/30/2020","Fall 2020","R2_Fall 2020","R2-1",5.1,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",1
"71",71,841,"841_44165","B3","Bottomland","B3-1","11/30/2020","Fall 2020","B3_Fall 2020","B3-1",5.4,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B3","75","3",0.817590645156208,0.910464060750257,"B3_Fall ",1
"78",78,848,"848_44168","B2","Bottomland","B2-1","12/3/2020","Fall 2020","B2_Fall 2020","B2-1",6.4,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",1
"82",82,853,"853_44167","R2","Riparian","R2-1","12/2/2020","Fall 2020","R2_Fall 2020","R2-1",5.5,"Raccoon","Initial","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",9
"83",83,854,"854_44168","R2","Riparian","R2-1","12/3/2020","Fall 2020","R2_Fall 2020","R2-1",1.4,"Raccoon","Initial","F","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",1
"85",85,856,"856_44171","B2","Bottomland","B2-1","12/6/2020","Fall 2020","B2_Fall 2020","B2-1",6.1,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",2
"87",87,858,"858_44172","R3","Riparian","R3-1","12/7/2020","Fall 2020","R3_Fall 2020","R3-1",1.4,"Raccoon","Initial","F","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R3","150","3",-0.995188315406846,-0.372370925297292,"R3_Fall ",1
"88",88,859,"859_44173","B3","Bottomland","B3-1","12/8/2020","Fall 2020","B3_Fall 2020","B3-1",2.4,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B3","75","3",0.817590645156208,0.910464060750257,"B3_Fall ",1
"90",90,861,"861_44171","R2","Riparian","R2-1","12/6/2020","Fall 2020","R2_Fall 2020","R2-1",4.3,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",3
"91",91,862,"862_44171","R2","Riparian","R2-1","12/6/2020","Fall 2020","R2_Fall 2020","R2-1",1.4,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",2
"92",92,863,"863_44173","B1","Bottomland","B1-1","12/8/2020","Fall 2020","B1_Fall 2020","B1-1",5.3,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B1","75","3",-0.885058201974931,1.16697589744268,"B1_Fall ",1
"94",94,865,"865_44233","B1","Bottomland","B1-2","2/6/2021","Fall 2020","B1_Fall 2020","B1-2",4.4,"Raccoon","Initial","F","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B1","75","3",-0.885058201974931,1.16697589744268,"B1_Fall ",1
"96",96,867,"867_44234","R5","Riparian","R5-2","2/7/2021","Fall 2020","R5_Fall 2020","R5-2",4.2,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R5","75","3",-1.12185877133962,-0.458052827797378,"R5_Fall ",1
"98",98,869,"869_44235","R5","Riparian","R5-2","2/8/2021","Fall 2020","R5_Fall 2020","R5-2",2.6,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R5","75","3",-1.12185877133962,-0.458052827797378,"R5_Fall ",1
"99",99,870,"870_44233","P6","Pine","P6-2","2/6/2021","Fall 2020","P6_Fall 2020","P6-2",3.4,"Raccoon","Initial","F","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",1
"100",100,871,"871_44234","B2","Bottomland","B2-2","2/7/2021","Fall 2020","B2_Fall 2020","B2-2",4.4,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",1
"102",102,873,"873_44237","R5","Riparian","R5-2","2/10/2021","Fall 2020","R5_Fall 2020","R5-2",1.5,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R5","75","3",-1.12185877133962,-0.458052827797378,"R5_Fall ",1
"103",103,874,"874_44237","R5","Riparian","R5-2","2/10/2021","Fall 2020","R5_Fall 2020","R5-2",2.1,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R5","75","3",-1.12185877133962,-0.458052827797378,"R5_Fall ",1
"105",105,876,"876_44234","P5","Pine","P5-2","2/7/2021","Fall 2020","P5_Fall 2020","P5-2",5.2,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P5","150","3",-0.313104329910949,-0.178656965441451,"P5_Fall ",1
"106",106,877,"877_44235","P6","Pine","P6-2","2/8/2021","Fall 2020","P6_Fall 2020","P6-2",2.4,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",1
"107",107,878,"878_44497","P6","Pine","P6-1","10/28/2021","Fall 2020","P6_Fall 2020","P6-1",3.1,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",4
"108",108,879,"879_44237","B2","Bottomland","B2-2","2/10/2021","Fall 2020","B2_Fall 2020","B2-2",7.1,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",1
"109",109,880,"880_44237","P7","Pine","P7-2","2/10/2021","Fall 2020","P7_Fall 2020","P7-2",4.1,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P7","75","3",-0.830919551673598,-0.790623042021406,"P7_Fall ",1
"110",110,881,"881_44510","B2","Bottomland","B2-1","11/10/2021","Fall 2020","B2_Fall 2020","B2-1",1.3,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",2
"111",111,882,"882_44238","B1","Bottomland","B1-2","2/11/2021","Fall 2020","B1_Fall 2020","B1-2",2.4,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B1","75","3",-0.885058201974931,1.16697589744268,"B1_Fall ",1
"113",113,884,"884_44237","B1","Bottomland","B1-2","2/10/2021","Fall 2020","B1_Fall 2020","B1-2",4.4,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B1","75","3",-0.885058201974931,1.16697589744268,"B1_Fall ",2
"114",114,885,"885_44237","P5","Pine","P5-2","2/10/2021","Fall 2020","P5_Fall 2020","P5-2",5.2,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P5","150","3",-0.313104329910949,-0.178656965441451,"P5_Fall ",1
"116",116,887,"887_44241","W2","Wetland","W2-2","2/14/2021","Fall 2020","W2_Fall 2020","W2-2",1.3,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W2","75","3",-1.12185877133962,0.760819637657431,"W2_Fall ",1
"117",117,888,"888_44239","B2","Bottomland","B2-2","2/12/2021","Fall 2020","B2_Fall 2020","B2-2",4.4,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",1
"118",118,889,"889_44239","P6","Pine","P6-2","2/12/2021","Fall 2020","P6_Fall 2020","P6-2",7.1,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",1
"119",119,890,"890_44241","W2","Wetland","W2-2","2/14/2021","Fall 2020","W2_Fall 2020","W2-2",1.1,"Raccoon","Initial","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W2","75","3",-1.12185877133962,0.760819637657431,"W2_Fall ",1
"120",120,892,"892_44241","P7","Pine","P7-2","2/14/2021","Fall 2020","P7_Fall 2020","P7-2",3.2,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P7","75","3",-0.830919551673598,-0.790623042021406,"P7_Fall ",1
"122",122,894,"894_44242","W2","Wetland","W2-2","2/15/2021","Fall 2020","W2_Fall 2020","W2-2",5.2,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W2","75","3",-1.12185877133962,0.760819637657431,"W2_Fall ",1
"124",124,896,"896_44251","B4","Bottomland","B4-2","2/24/2021","Fall 2020","B4_Fall 2020","B4-2",3.5,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B4","150","3",2.21495959154136,-0.691444197860304,"B4_Fall ",2
"125",125,898,"898_44239","P6","Pine","P6-2","2/12/2021","Fall 2020","P6_Fall 2020","P6-2",5.2,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",1
"126",126,899,"899_44241","B2","Bottomland","B2-2","2/14/2021","Fall 2020","B2_Fall 2020","B2-2",5.1,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",1
"127",127,900,"900_44241","B1","Bottomland","B1-2","2/14/2021","Fall 2020","B1_Fall 2020","B1-2",4.3,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B1","75","3",-0.885058201974931,1.16697589744268,"B1_Fall ",1
"128",128,901,"901_44242","P5","Pine","P5-2","2/15/2021","Fall 2020","P5_Fall 2020","P5-2",3.1,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P5","150","3",-0.313104329910949,-0.178656965441451,"P5_Fall ",1
"129",129,902,"902_44242","P5","Pine","P5-2","2/15/2021","Fall 2020","P5_Fall 2020","P5-2",3.3,"Raccoon","Inital","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P5","150","3",-0.313104329910949,-0.178656965441451,"P5_Fall ",1
"130",130,903,"903_44251","R1","Riparian","R1-2","2/24/2021","Fall 2020","R1_Fall 2020","R1-2",3.3,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R1","75","3",-0.927485767351096,-0.644850889970845,"R1_Fall ",1
"131",131,904,"904_44251","P4","Pine","P4-2","2/24/2021","Fall 2020","P4_Fall 2020","P4-2",4.3,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P4","150","3",-1.12185877133962,-0.820306856689238,"P4_Fall ",1
"132",132,905,"905_44252","R1","Riparian","R1-2","2/25/2021","Fall 2020","R1_Fall 2020","R1-2",5.3,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R1","75","3",-0.927485767351096,-0.644850889970845,"R1_Fall ",1
"133",133,906,"906_44252","P4","Pine","P4-2","2/25/2021","Fall 2020","P4_Fall 2020","P4-2",5.5,"Raccoon","Initial","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P4","150","3",-1.12185877133962,-0.820306856689238,"P4_Fall ",1
"134",134,907,"907_44254","R2","Riparian","R2-2","2/27/2021","Fall 2020","R2_Fall 2020","R2-2",5.5,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",2
"135",135,908,"908_44256","W6","Wetland","W6-2","3/1/2021","Fall 2020","W6_Fall 2020","W6-2",4.5,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W6","150","3",-0.91337181104455,-0.483961875786898,"W6_Fall ",2
"136",136,909,"909_44256","W6","Wetland","W6-2","3/1/2021","Fall 2020","W6_Fall 2020","W6-2",4.3,"Raccoon","Initial","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W6","150","3",-0.91337181104455,-0.483961875786898,"W6_Fall ",1
"137",137,910,"910_44252","B5","Bottomland","B5-2","2/25/2021","Fall 2020","B5_Fall 2020","B5-2",5.1,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B5","150","3",1.34891225127511,-0.397727676766714,"B5_Fall ",1
"138",138,911,"911_44252","W6","Wetland","W6-2","2/25/2021","Fall 2020","W6_Fall 2020","W6-2",4.5,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W6","150","3",-0.91337181104455,-0.483961875786898,"W6_Fall ",2
"140",140,913,"913_44255","R6","Riparian","R6-2","2/28/2021","Fall 2020","R6_Fall 2020","R6-2",5.3,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R6","150","3",-1.12185877133962,-1.27897487586542,"R6_Fall ",1
"141",141,914,"914_44255","P4","Pine","P4-2","2/28/2021","Fall 2020","P4_Fall 2020","P4-2",2.1,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P4","150","3",-1.12185877133962,-0.820306856689238,"P4_Fall ",1
"142",142,915,"915_44273","B3","Bottomland","B3-2","3/18/2021","Fall 2020","B3_Fall 2020","B3-2",1.2,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B3","75","3",0.817590645156208,0.910464060750257,"B3_Fall ",1
"144",144,917,"917_44274","R4","Riparian","R4-2","3/19/2021","Fall 2020","R4_Fall 2020","R4-2",1.2,"Raccoon","Initial","F","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R4","75","3",-0.439021020525689,0.133787926256266,"R4_Fall ",1
"145",145,918,"918_44274","R3","Riparian","R3-2","3/19/2021","Fall 2020","R3_Fall 2020","R3-2",5.4,"Raccoon","Initial","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R3","150","3",-0.995188315406846,-0.372370925297292,"R3_Fall ",2
"148",148,923,"923_44257","W5","Wetland","W5-2","3/2/2021","Fall 2020","W5_Fall 2020","W5-2",3.5,"Raccoon","Initial","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W5","150","3",-1.01273507888213,-0.706837990312097,"W5_Fall ",1
"149",149,924,"924_44258","W5","Wetland","W5-2","3/3/2021","Fall 2020","W5_Fall 2020","W5-2",3.5,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W5","150","3",-1.01273507888213,-0.706837990312097,"W5_Fall ",1
